ceo,company_founded,job_title,cb_link,location,primary_organisation
 Sanjay Nayar ,—,CEO,/person/sanjay-nayar," Mumbai, Maharashtra, India", Kohlberg Kravis Roberts 
 Supam Maheshwari ,2,CEO & Owner,/person/supam-maheshwari-2," Pune, Maharashtra, India", FirstCry 
 Vaibhav Jain ,1,Founder & CEO,/person/vaibhav-jain-5," Ahmedabad, Gujarat, India", Hubilo 
 Tanmai Gopal ,2,Co-Founder & CEO,/person/tanmai-gopal," Bangalore, Karnataka, India", Hasura 
 Dr. Madhukar Gangadi ,1,CEO,/person/dr-madhukar-gangadi," Hyderabad, Andhra Pradesh, India", MedPlusMart 
 Renuka Ramnath ,1,"Founder, MD & CEO",/person/renuka-ramnath," Mumbai, Maharashtra, India", Multiples Alternate Asset Management Private Limited 
 Dilsher Singh ,1,Founder and CEO,/person/dilsher-singh-malhi-ed7b," Gurgaon, Haryana, India", Zupee 
 Prabhkiran Singh ,1,"CEO, Co-Founder",/person/prabhkiran-singh," Mumbai, Maharashtra, India", Bewakoof 
 Jaydeep Barman ,1,Co-Founder & CEO,/person/jaydeep-barman," Mumbai, Maharashtra, India", Rebel Foods 
 Aarti Gill ,2,Co-Founder and CEO,/person/aarti-gill," Mumbai, Maharashtra, India", OZiva 
 Ajay Vishnu ,2,CEO,/person/ajay-vishnu," Gurgaon, Haryana, India", Jetbrain Robotics 
 Sampad Swain ,3,Co-Founder & CEO,/person/sampad-swain," Bangalore, Karnataka, India", Instamojo 
 Manish Patel ,1,Founder & CEO,/person/manish-patel-5," Mumbai, Maharashtra, India", Mswipe Technologies Private Limited 
 Jo Aggarwal ,1,Founder & CEO,/person/jo-aggarwal," Bangalore, Karnataka, India", Wysa 
 P Raja Manickam ,1,Founder & CEO,/person/p-raja-manickam," Bangalore, Karnataka, India", Tessolve Semiconductor 
 Mahesh Godi ,3,Founder | Inventor | Investor | CEO,/person/mahesh-godi," Hyderabad, Andhra Pradesh, India", GODI 
 Rajendra Dubey ,2,CEO,/person/rajendra-dubey," Delhi, Delhi, India", Yoctel Solutions (P) Ltd 
 Shobhit Banga ,1,Founder/ CEO,/person/shobhit-banga," Gurgaon, Haryana, India", Josh Talks 
 Chitra Ravi ,1,Founder & CEO,/person/chitra-ravi," Chennai, Tamil Nadu, India", Chrysalis (EZ Vidya) 
 Saurabh Saxena ,1,Co-Founder & CEO,/person/saurabh-saxena-2," Mumbai, Maharashtra, India", Holachef 
 Dheeraj Aggarwal ,1,Co-Founder/CEO,/person/dheeraj-aggarwal," Chandigarh, Chandigarh, India", Altruist Technologies 
 Pravin Agarwala ,1,CEO/Co-Founder,/person/pravin-agarwala," Bangalore, Karnataka, India", BetterPlace Safety Solutions 
 Vishwas Patel ,3,CEO & Founder,/person/vishwas-patel," Mumbai, Maharashtra, India", Avenues India 
 Romesh Sobti ,—,"CEO, Managing Director",/person/romesh-sobti," Mumbai, Maharashtra, India", IndusInd Bank 
 Ankit Mehta ,1,Co-Founder & CEO,/person/ankit-mehta," Mumbai, Maharashtra, India", ideaForge 
 Manan Shah ,1,Founder & CEO,/person/manan-shah-2," Mumbai, Maharashtra, India", Avalance Global Solutions 
 Akanksha Hazari ,1,CEO & Founder,/person/akanksha-hazari," Mumbai, Maharashtra, India", LoveLocal (formerly m.Paani) 
 Shashank Kumar ,1,Founder & CEO,/person/shashank-kumar-228c," Gurgaon, Haryana, India", DeHaat 
 Gautam Sinha ,1,CEO - Times Internet,/person/gautam-sinha," Gurgaon, Haryana, India", Times Internet 
 Samay Kohli ,1,Co-Founder & CEO,/person/samay-kohli," Gurgaon, Haryana, India", GreyOrange 
 Asad Khan ,2,Co-Founder & CEO,/person/asad-khan-5," Noida, Uttar Pradesh, India", LambdaTest 
 PRAFUL CHATRAPATI ,1,Co-Founder & CEO,/person/praful-chatrapati," Mumbai, Maharashtra, India", PickMe eSolutions India 
 Kaizad Patel ,1,Co-Founder and CEO,/person/kaizad-patel," Hyderabad, Andhra Pradesh, India", SatisFIND 
 Srinath Ravichandran ,1,Co-Founder & CEO,/person/srinath-ravichandran," Chennai, Tamil Nadu, India", Agnikul 
